case_id,interval_start,recorded_load_mw,source_archive_sha256
summer-2023,2023-08-10T18:00:00-05:00,84432.08,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-10T19:00:00-05:00,81857.58,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-10T20:00:00-05:00,79321.759,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-10T21:00:00-05:00,77348.466,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-10T22:00:00-05:00,73279.658,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-10T23:00:00-05:00,69073.634,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T00:00:00-05:00,65290.331,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T01:00:00-05:00,62335.779,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T02:00:00-05:00,60029.407,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T03:00:00-05:00,58610.551,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T04:00:00-05:00,58001.636,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T05:00:00-05:00,58325.039,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T06:00:00-05:00,59179.875,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T07:00:00-05:00,59309.78,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T08:00:00-05:00,61545.275,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T09:00:00-05:00,65368.376,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T10:00:00-05:00,70021.384,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T11:00:00-05:00,74195.268,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T12:00:00-05:00,78037.645,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T13:00:00-05:00,81590.171,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T14:00:00-05:00,83765.528,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T15:00:00-05:00,84776.673,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T16:00:00-05:00,85037.849,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T17:00:00-05:00,84492.216,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T18:00:00-05:00,82970.828,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T19:00:00-05:00,80159.007,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T20:00:00-05:00,77663.925,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T21:00:00-05:00,75592.437,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T22:00:00-05:00,71910.578,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
summer-2023,2023-08-11T23:00:00-05:00,67979.766,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T00:00:00-05:00,35737.313,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T01:00:00-05:00,34518.935,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T02:00:00-05:00,33697.257,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T03:00:00-05:00,33430.592,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T04:00:00-05:00,34049.399,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T05:00:00-05:00,35497.593,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T06:00:00-05:00,38043.112,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T07:00:00-05:00,39518.477,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T08:00:00-05:00,40437.306,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T09:00:00-05:00,41300.598,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T10:00:00-05:00,42118.278,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T11:00:00-05:00,43095.885,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T12:00:00-05:00,43765.598,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T13:00:00-05:00,44396.431,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T14:00:00-05:00,44663.987,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T15:00:00-05:00,44681.401,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T16:00:00-05:00,44971.569,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T17:00:00-05:00,45081.288,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T18:00:00-05:00,45006.853,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T19:00:00-05:00,44930.123,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T20:00:00-05:00,45206.016,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T21:00:00-05:00,44358.788,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T22:00:00-05:00,41807.186,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-10T23:00:00-05:00,39243.43,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T00:00:00-05:00,37316.51,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T01:00:00-05:00,35813.466,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T02:00:00-05:00,34982.685,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T03:00:00-05:00,34608.057,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T04:00:00-05:00,35112.814,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T05:00:00-05:00,36774.132,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T06:00:00-05:00,39625.452,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T07:00:00-05:00,40758.448,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T08:00:00-05:00,41070.192,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T09:00:00-05:00,41654.057,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T10:00:00-05:00,42342.582,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T11:00:00-05:00,43013.834,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T12:00:00-05:00,43844.257,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T13:00:00-05:00,44681.274,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T14:00:00-05:00,45461.004,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T15:00:00-05:00,46238.011,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T16:00:00-05:00,47314.509,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T17:00:00-05:00,47837.926,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
spring-2023,2023-04-11T18:00:00-05:00,47544.475,34e7067d3273f56be42ce469e23747cff0db736d668519070ad63674c3ddecd4
